,1,2,3,4
401056252,67,70,71.0,76.0
401056503,72,67,66.0,70.0
401056504,67,68,71.0,67.0
401056505,72,68,,
401056511,65,75,69.0,
401056512,73,66,69.0,75.0
401056513,65,68,70.0,74.0
401056514,68,74,,
401056515,75,76,,
401056521,77,71,,
401056522,76,70,,
401056526,74,68,68.0,72.0
401056528,74,71,,
401056544,71,70,75.0,75.0
401056545,65,73,,
401056546,68,66,70.0,63.0
401056548,65,69,70.0,70.0
401056549,67,67,68.0,72.0
401056550,67,71,71.0,73.0
401056551,67,66,70.0,71.0
401056553,72,69,68.0,75.0
401056555,69,69,,68.0
401056557,69,72,,
401056558,70,67,71.0,65.0
401148233,66,68,72.0,69.0
401148234,72,76,,
401148235,73,73,,
401148236,68,65,71.0,69.0
401148237,70,73,74.0,67.0
401148242,72,70,,
401148243,70,70,,
401155419,69,72,69.0,
401155420,71,71,72.0,73.0
401155421,72,67,73.0,71.0
401155423,71,71,70.0,72.0
401155425,67,69,63.0,75.0
401219480,69,69,73.0,75.0
401219793,68,75,,
401219794,68,69,72.0,70.0
401219795,65,63,65.0,68.0
401219800,72,74,,
401219801,74,71,,
401242996,69,69,68.0,70.0
401242998,70,74,,
401242999,73,71,,
401243001,75,68,,
401243004,69,67,76.0,79.0
401243005,73,71,76.0,73.0
401243009,72,73,72.0,68.0
401243010,74,71,72.0,74.0
401243401,66,74,69.0,72.0
401243419,72,66,71.0,70.0
401243433,73,73,,
