,1,2,3,4
401056252,69,73.0,,
401056503,73,72.0,,
401056504,68,71.0,69.0,70.0
401056505,65,73.0,74.0,76.0
401056506,69,74.0,,
401056510,67,69.0,67.0,68.0
401056511,71,70.0,69.0,
401056512,67,74.0,69.0,67.0
401056514,71,71.0,70.0,72.0
401056517,72,72.0,74.0,69.0
401056520,69,69.0,69.0,74.0
401056523,73,68.0,68.0,72.0
401056525,66,71.0,73.0,67.0
401056526,69,68.0,74.0,70.0
401056544,67,71.0,68.0,72.0
401056545,69,70.0,,
401056546,66,70.0,67.0,63.0
401056548,71,70.0,,
401056549,69,69.0,,
401056550,70,70.0,72.0,71.0
401056551,65,70.0,65.0,67.0
401056553,73,71.0,,
401056554,75,67.0,69.0,76.0
401056556,74,71.0,,
401056557,71,71.0,,
401056558,74,68.0,,
401148233,68,66.0,68.0,66.0
401148234,75,,,
401148236,68,63.0,69.0,70.0
401148237,73,,,
401148238,72,70.0,72.0,65.0
401148242,71,69.0,70.0,67.0
401148243,70,66.0,72.0,73.0
401155418,67,71.0,70.0,70.0
401155420,75,68.0,73.0,76.0
401155421,74,68.0,,
401155422,68,73.0,65.0,72.0
401155423,79,70.0,,
401155426,70,73.0,72.0,71.0
401155427,75,68.0,73.0,81.0
401155459,66,70.0,69.0,70.0
401155460,73,68.0,,
401155466,74,70.0,,
401155467,71,72.0,69.0,71.0
401155473,68,67.0,72.0,65.0
401155474,68,71.0,76.0,71.0
401219333,76,74.0,,
401219480,71,69.0,71.0,67.0
401219481,70,75.0,,
401219498,69,69.0,66.0,71.0
401219794,73,70.0,,
401219795,67,67.0,67.0,73.0
401219799,68,71.0,66.0,67.0
401219800,69,72.0,77.0,68.0
401219801,67,71.0,70.0,66.0
401223849,69,72.0,67.0,70.0
401242997,69,67.0,63.0,64.0
401242998,70,73.0,74.0,71.0
401242999,68,69.0,69.0,68.0
401243000,67,72.0,73.0,71.0
401243001,67,72.0,69.0,70.0
401243004,76,72.0,,
401243005,73,71.0,70.0,74.0
401243006,61,70.0,69.0,68.0
401243010,74,69.0,74.0,72.0
401243401,70,68.0,67.0,72.0
401243420,69,71.0,73.0,72.0
