,1,2,3,4
401056504,68,69,70.0,71.0
401056505,64,64,65.0,69.0
401056507,72,73,72.0,69.0
401056510,63,63,66.0,66.0
401056513,67,65,65.0,75.0
401056514,67,73,70.0,70.0
401056515,68,72,69.0,71.0
401056516,66,67,79.0,74.0
401056522,69,70,72.0,70.0
401056526,69,71,67.0,69.0
401056527,71,69,68.0,72.0
401056528,69,69,68.0,67.0
401056542,66,72,71.0,74.0
401056543,71,70,73.0,70.0
401056544,70,73,,
401056547,70,68,69.0,79.0
401056552,70,70,72.0,69.0
401056554,73,74,,
401056555,65,63,,70.0
401056556,69,69,70.0,73.0
401056559,70,70,71.0,69.0
401148242,69,68,73.0,62.0
401148243,72,69,,
401148244,71,70,70.0,73.0
401155413,68,74,71.0,75.0
401155418,69,73,,
401155421,68,70,67.0,69.0
401155422,70,71,68.0,76.0
401155423,64,69,70.0,72.0
401155424,75,67,67.0,70.0
401155459,71,68,,
401155461,76,67,76.0,73.0
401155467,66,72,71.0,66.0
401155474,69,69,66.0,68.0
401155475,75,76,69.0,73.0
401219333,74,75,,
401219478,70,75,,
401219481,71,72,,
401219498,70,66,67.0,70.0
401219795,67,66,72.0,66.0
401219796,76,68,74.0,71.0
401219797,70,69,70.0,71.0
401219801,70,66,67.0,70.0
401223849,69,69,74.0,72.0
401242997,70,68,,
401242999,69,67,73.0,67.0
401243001,71,72,,
401243002,73,72,69.0,76.0
401243005,76,75,,
401243009,70,70,70.0,71.0
401243010,78,70,,
401243011,70,68,67.0,70.0
401243419,67,66,66.0,73.0
