,1,2,3,4
401056502,67,80,70.0,81.0
401056514,71,70,76.0,
401056516,72,71,68.0,70.0
401056521,70,70,67.0,71.0
401056522,70,71,72.0,71.0
401056527,78,67,68.0,70.0
401056528,71,71,68.0,72.0
401056547,71,69,70.0,73.0
401056552,75,65,76.0,71.0
401056553,69,71,75.0,71.0
401056554,73,71,74.0,75.0
401056556,69,71,72.0,68.0
401056559,67,64,69.0,69.0
401148239,75,71,74.0,72.0
401148241,66,67,70.0,71.0
401155422,71,70,68.0,79.0
401155423,71,70,68.0,73.0
401155424,72,70,70.0,70.0
401155427,70,75,75.0,69.0
401155459,68,69,68.0,69.0
401155461,75,66,74.0,68.0
401155466,70,68,,
401155467,70,64,69.0,68.0
401155474,77,66,,
401155475,70,75,68.0,67.0
401219333,74,73,,
401219478,74,70,73.0,72.0
401219481,74,70,,
401219498,66,66,68.0,68.0
401219796,69,68,72.0,71.0
401219797,69,65,67.0,73.0
401219801,72,69,,
401223849,73,69,71.0,68.0
401243001,66,71,69.0,71.0
401243002,66,69,71.0,72.0
401243004,69,71,71.0,74.0
401243005,68,68,72.0,72.0
401243010,74,70,73.0,73.0
401243011,71,64,68.0,68.0
401243419,72,70,,
