,1,2,3,4
401148233,68,69,,
401148234,76,70,,
401148235,66,77,,
401148236,67,68,65.0,69.0
401148237,74,72,,
401148242,67,71,70.0,71.0
401148243,68,67,68.0,67.0
401155418,71,69,69.0,68.0
401155419,68,68,70.0,66.0
401155420,67,70,76.0,70.0
401155422,68,71,69.0,72.0
401155425,70,71,66.0,67.0
401155426,71,72,70.0,71.0
401155427,70,78,,
401155459,70,67,70.0,70.0
401155461,74,79,,
401155466,70,70,,
401155472,72,71,,
401155473,69,67,70.0,67.0
401155474,70,71,,
401219480,69,71,72.0,70.0
401219498,66,67,73.0,66.0
401219793,72,71,,
401219794,68,71,68.0,69.0
401219795,66,68,64.0,68.0
401219800,77,71,,
401219801,72,63,66.0,68.0
401223849,70,79,,
401242997,69,70,,
401242998,70,73,76.0,69.0
401242999,63,71,68.0,66.0
401243000,74,67,70.0,68.0
401243001,70,70,73.0,68.0
401243004,72,76,,
401243005,81,72,,
401243006,70,68,73.0,70.0
401243009,73,71,72.0,70.0
401243011,68,72,70.0,70.0
401243401,78,75,,
401243420,75,68,74.0,72.0
401243433,70,69,69.0,71.0
