,1,2,3,4
401056513,67,70.0,72.0,72.0
401056544,69,71.0,72.0,73.0
401056545,65,67.0,67.0,67.0
401056548,67,71.0,67.0,69.0
401056549,70,68.0,,
401056557,75,68.0,,
401056558,69,67.0,62.0,65.0
401056559,72,70.0,65.0,69.0
401148236,67,69.0,68.0,65.0
401148238,73,78.0,78.0,70.0
401148239,69,65.0,67.0,71.0
401155413,69,72.0,71.0,73.0
401155419,67,69.0,71.0,72.0
401155420,76,66.0,71.0,69.0
401155421,73,74.0,,
401155423,74,73.0,,
401155426,72,70.0,72.0,75.0
401155427,73,73.0,81.0,71.0
401155459,67,69.0,71.0,71.0
401155460,69,64.0,64.0,71.0
401155461,77,68.0,70.0,76.0
401155466,68,69.0,,
401155467,69,74.0,65.0,72.0
401155472,65,68.0,70.0,67.0
401155474,65,67.0,77.0,67.0
401155475,72,71.0,74.0,67.0
401219333,66,74.0,65.0,75.0
401219478,70,77.0,,
401219481,69,68.0,68.0,65.0
401219498,72,69.0,,
401219795,68,66.0,61.0,66.0
401219796,80,73.0,69.0,77.0
401219797,69,69.0,75.0,66.0
401223849,72,77.0,,
401242998,78,,,
401242999,68,71.0,69.0,67.0
401243001,71,70.0,77.0,72.0
401243002,83,,,
401243010,76,79.0,,
401243401,72,67.0,71.0,70.0
