,1,2,3,4
401148233,73,73.0,,
401148234,68,73.0,68.0,72.0
401148235,77,72.0,,
401148237,72,72.0,71.0,71.0
401148240,70,77.0,,
401148243,75,68.0,,
401155418,69,67.0,73.0,69.0
401155419,71,71.0,66.0,
401155420,70,77.0,,
401155422,73,73.0,71.0,
401155425,71,70.0,72.0,70.0
401155460,68,70.0,68.0,72.0
401155472,70,70.0,70.0,66.0
401155473,69,75.0,,
401219480,79,72.0,,
401219793,69,73.0,,
401219799,73,,,
401219802,70,70.0,71.0,75.0
401242997,72,74.0,,
401242998,74,72.0,,
401243000,72,75.0,,
401243003,71,72.0,71.0,71.0
401243008,73,76.0,,
401243401,72,80.0,,
401243419,67,71.0,73.0,69.0
