,1,2,3,4
401056555,70,72,,
401148233,72,70,,
401148234,72,70,,
401148235,72,69,71.0,72.0
401148237,67,75,74.0,67.0
401148240,71,66,72.0,71.0
401148242,70,76,,
401148243,72,71,,
401155418,76,75,,
401155419,69,65,70.0,69.0
401155420,71,74,,
401155422,72,71,69.0,75.0
401155425,71,75,,
401155426,72,76,,
401155460,72,71,,
401155472,72,68,68.0,65.0
401155473,67,69,67.0,72.0
401219480,74,71,,
401219498,72,70,,
401219793,70,68,67.0,68.0
401219794,65,73,75.0,69.0
401219795,65,67,66.0,72.0
401219799,68,71,69.0,66.0
401219801,79,69,,
401219802,67,75,,
401242997,72,70,,
401242998,79,77,,
401243000,75,74,,
401243003,72,70,74.0,70.0
401243006,72,76,,
401243008,73,66,68.0,71.0
401243009,73,77,,
401243011,76,71,,
401243401,71,77,,
401243419,65,72,72.0,68.0
401243420,77,67,73.0,72.0
401243433,69,68,74.0,69.0
