,1,2,3,4
401056252,71,67,74.0,73.0
401056503,69,71,71.0,69.0
401056504,72,67,65.0,70.0
401056505,68,71,,
401056510,70,74,,
401056511,70,66,67.0,72.0
401056512,71,68,72.0,72.0
401056513,72,70,,
401056514,69,70,71.0,71.0
401056515,70,71,68.0,72.0
401056520,72,66,70.0,72.0
401056522,73,69,69.0,67.0
401056523,71,70,67.0,75.0
401056526,69,72,71.0,72.0
401056528,72,70,68.0,77.0
401056544,68,74,,
401056545,68,69,,
401056546,63,72,69.0,66.0
401056548,67,69,66.0,71.0
401056549,69,69,,
401056550,67,75,72.0,72.0
401056551,73,72,,
401056553,69,74,,
401056555,64,65,,72.0
401056556,74,70,70.0,72.0
401056557,68,70,69.0,70.0
401056558,67,69,70.0,68.0
401148233,70,65,72.0,65.0
401148234,74,72,,
401148235,69,66,70.0,72.0
401148236,63,69,69.0,69.0
401148242,67,70,70.0,69.0
401148243,67,72,,
401155418,70,69,67.0,71.0
401155419,67,68,74.0,
401155421,70,70,71.0,70.0
401155422,63,66,69.0,70.0
401155423,71,73,,
401155427,73,73,74.0,79.0
401155461,74,75,,
401155467,69,70,67.0,71.0
401155474,68,73,,
401155475,75,72,73.0,71.0
401219478,72,72,69.0,72.0
401219481,76,73,,
401219794,69,77,,
401219795,68,71,,
401219796,71,74,72.0,74.0
401219797,70,68,71.0,74.0
401219801,73,69,,
401223849,67,71,76.0,71.0
401242996,67,71,69.0,72.0
401242997,66,62,68.0,67.0
401242999,70,70,,
401243000,69,71,72.0,72.0
401243001,72,69,71.0,69.0
401243004,73,75,,
401243005,70,74,72.0,71.0
401243006,72,70,,
401243009,73,70,74.0,72.0
401243011,69,74,,
401243401,68,66,74.0,73.0
401243420,74,67,74.0,69.0
401243433,69,75,,
