,1,2,3,4
401056252,71,69,71.0,70.0
401056503,70,69,70.0,67.0
401056504,69,68,70.0,68.0
401056505,75,70,,
401056506,70,70,61.0,62.0
401056510,74,74,,
401056512,72,74,,
401056513,76,69,,
401056514,72,78,68.0,
401056515,66,67,73.0,72.0
401056520,68,71,72.0,69.0
401056521,68,73,73.0,74.0
401056522,72,70,,
401056523,73,75,,
401056544,76,68,,
401056545,63,72,,
401056546,70,73,,
401148233,68,66,66.0,75.0
401148234,69,72,72.0,73.0
401148235,70,71,70.0,72.0
401148236,71,71,,
401148237,69,70,76.0,71.0
401148240,69,73,,
401148242,68,71,71.0,72.0
401148243,68,71,,
401155418,68,69,69.0,72.0
401155419,69,66,72.0,73.0
401155420,70,69,72.0,68.0
401155421,67,69,70.0,68.0
401155422,76,68,71.0,
401155423,71,71,70.0,70.0
401155425,70,68,66.0,75.0
401155426,69,71,72.0,69.0
401155427,73,70,73.0,77.0
401155459,67,68,70.0,65.0
401155460,69,70,69.0,70.0
401155461,70,72,71.0,77.0
401155466,67,72,,
401155472,66,68,70.0,70.0
401155473,70,66,67.0,73.0
401155474,71,67,76.0,77.0
401219480,67,69,72.0,69.0
401219498,67,72,,
401219793,67,72,70.0,70.0
401219794,75,68,,
401219795,73,70,,
401219799,68,73,74.0,72.0
401219800,73,75,,
401219801,69,73,,
401219802,70,66,65.0,70.0
401223849,76,69,,
401242998,72,74,,
401242999,72,70,,
401243000,72,72,,
401243001,71,69,70.0,69.0
401243003,73,68,73.0,66.0
401243004,73,72,69.0,79.0
401243005,74,70,73.0,74.0
401243006,70,73,,
401243008,71,71,71.0,74.0
401243009,75,73,,
401243011,72,69,,
401243401,69,75,,
401243419,71,66,69.0,71.0
401243420,68,68,79.0,70.0
401243433,70,72,,
