,1,2,3,4
401056500,66,65.0,71.0,68.0
401056501,71,73.0,66.0,70.0
401056502,73,68.0,74.0,71.0
401056507,73,71.0,68.0,71.0
401056510,72,68.0,,
401056514,69,64.0,67.0,71.0
401056515,70,66.0,71.0,72.0
401056516,71,72.0,65.0,65.0
401056522,78,74.0,,
401056523,70,66.0,68.0,72.0
401056527,81,73.0,,
401056542,66,67.0,68.0,72.0
401056543,70,70.0,67.0,71.0
401056545,65,65.0,66.0,69.0
401056547,72,70.0,73.0,73.0
401056549,65,68.0,71.0,65.0
401056550,69,71.0,66.0,69.0
401056552,70,71.0,75.0,69.0
401056553,69,,,
401056556,70,72.0,73.0,67.0
401056559,70,71.0,69.0,67.0
401148239,69,69.0,68.0,67.0
401148241,75,71.0,71.0,69.0
401155413,74,72.0,69.0,75.0
401155419,68,67.0,67.0,71.0
401155422,71,65.0,73.0,81.0
401155423,69,69.0,70.0,75.0
401155424,69,68.0,66.0,70.0
401155461,71,77.0,,
401155466,69,66.0,67.0,68.0
401155467,71,78.0,69.0,67.0
401155472,72,72.0,,
401155473,67,66.0,69.0,69.0
401155474,70,69.0,67.0,71.0
401155475,73,72.0,71.0,68.0
401219333,76,70.0,69.0,73.0
401219478,65,74.0,71.0,77.0
401219481,68,67.0,68.0,66.0
401219795,69,68.0,,
401219796,75,77.0,67.0,76.0
401219797,69,71.0,69.0,67.0
401243000,68,67.0,71.0,68.0
401243004,70,69.0,72.0,74.0
401243005,73,67.0,67.0,70.0
401243010,73,74.0,73.0,69.0
401243011,74,68.0,,
401243401,72,65.0,68.0,69.0
401243433,68,71.0,72.0,68.0
