,1,2,3,4
401056252,68,68,71.0,74.0
401056503,75,71,,
401056504,70,66,67.0,68.0
401056505,67,73,,
401056506,73,69,,
401056510,72,69,,
401056511,70,65,68.0,69.0
401056514,72,74,76.0,
401056515,72,69,70.0,72.0
401056520,69,68,71.0,73.0
401056523,69,74,72.0,74.0
401056526,71,68,70.0,71.0
401056528,67,72,69.0,70.0
401056544,68,76,,
401056545,67,75,,
401056546,70,68,,
401056548,67,68,71.0,71.0
401056549,66,70,69.0,70.0
401056550,74,71,,
401056551,70,69,,
401056553,74,67,72.0,69.0
401056554,72,72,69.0,69.0
401056555,66,68,,72.0
401056557,68,66,68.0,74.0
401056558,67,70,70.0,67.0
401148233,66,68,,
401148234,70,70,70.0,72.0
401148235,71,76,,
401148236,70,72,,
401148237,69,65,73.0,73.0
401148242,72,69,71.0,70.0
401148243,74,73,,
401155418,72,66,68.0,68.0
401155419,71,71,69.0,
401155420,71,75,,
401155421,69,73,,
401155422,70,69,66.0,75.0
401155423,74,72,,
401155426,74,76,,
401155460,66,74,,
401155466,73,74,,
401155472,73,73,,
401155473,68,65,64.0,70.0
401219480,69,69,71.0,73.0
401219498,71,67,69.0,74.0
401219793,71,70,,
401219794,70,67,70.0,63.0
401219795,66,62,71.0,66.0
401219799,63,74,70.0,70.0
401219801,65,70,73.0,67.0
401219802,78,68,,
401223849,68,72,84.0,68.0
401242997,62,69,64.0,69.0
401242998,66,71,73.0,71.0
401243000,73,72,,
401243001,73,73,,
401243004,70,78,,
401243005,76,70,,
401243006,75,76,,
401243009,73,75,,
401243011,73,72,,
401243401,73,72,,
401243420,67,74,72.0,73.0
401243433,71,72,,
