,1,2,3,4
401056252,65,69,74.0,72.0
401056511,60,68,66.0,69.0
401056513,68,75,,
401056514,65,68,70.0,65.0
401056515,72,69,71.0,70.0
401056516,79,65,72.0,68.0
401056521,68,78,,
401056522,74,74,,
401056527,67,73,70.0,72.0
401056543,70,73,69.0,71.0
401056544,72,66,75.0,72.0
401056547,76,74,,
401056549,67,76,,
401056550,71,76,,
401056552,69,71,76.0,76.0
401056554,70,79,,
401056556,72,69,75.0,72.0
401056558,74,73,,
401056559,68,73,73.0,74.0
401148235,75,69,,
401148236,65,69,74.0,67.0
401148238,70,72,71.0,68.0
401148241,71,69,75.0,68.0
401155419,70,72,71.0,
401155420,72,73,,
401155422,68,64,67.0,74.0
401155423,72,74,,
401155427,77,72,,
401155459,69,71,,
401155461,72,74,73.0,78.0
401155466,64,63,71.0,71.0
401155467,67,70,66.0,67.0
401155474,74,68,,
401219333,79,74,,
401219478,69,70,79.0,73.0
401219481,72,69,70.0,73.0
401219793,71,67,70.0,70.0
401219797,72,74,67.0,78.0
401219800,76,73,,
401223849,73,69,74.0,72.0
401242998,71,72,74.0,72.0
401243000,74,80,,
401243005,71,72,71.0,71.0
401243006,71,68,69.0,70.0
401243009,79,69,,
401243010,75,72,69.0,72.0
401243401,74,72,,
401243420,64,75,76.0,76.0
401243433,73,69,,
