,1,2,3,4
401056252,67,73,71.0,71.0
401056503,69,73,71.0,73.0
401056504,70,66,68.0,68.0
401056505,65,66,67.0,67.0
401056506,71,69,63.0,66.0
401056511,73,71,67.0,
401056512,66,80,,
401056513,69,69,73.0,73.0
401056514,72,70,73.0,
401056520,71,71,,
401056521,77,74,,
401056522,72,71,68.0,74.0
401056523,74,70,,
401056526,72,71,69.0,74.0
401056528,74,68,74.0,71.0
401056545,68,68,68.0,66.0
401056546,69,67,70.0,67.0
401056548,69,69,68.0,69.0
401056549,67,69,72.0,73.0
401056550,70,69,73.0,71.0
401056552,72,74,,
401056553,74,70,,
401056555,71,70,,
401056557,74,76,,
401056558,71,67,70.0,66.0
401148233,67,65,65.0,69.0
401148234,69,68,70.0,70.0
401148237,72,75,,
401155419,69,73,70.0,
401155420,72,68,78.0,74.0
401155422,66,72,75.0,
401155425,75,69,,
401155426,70,68,73.0,69.0
401155459,72,66,70.0,72.0
401155460,67,66,72.0,70.0
401155466,67,68,71.0,67.0
401155472,63,67,68.0,70.0
401155474,69,67,75.0,74.0
401155475,74,72,70.0,69.0
401219333,73,79,,
401219481,71,72,,
401219794,70,71,73.0,73.0
401219795,68,74,,
401219796,74,68,70.0,71.0
401219797,72,61,72.0,76.0
401219801,73,67,,
401223849,71,67,74.0,71.0
401242996,69,69,70.0,70.0
401242997,72,66,,
401242998,69,69,73.0,79.0
401242999,69,69,71.0,64.0
401243001,70,71,76.0,70.0
401243004,71,69,69.0,73.0
401243005,80,71,,
401243006,69,73,,
401243011,69,77,,
401243401,69,68,65.0,75.0
401243420,70,73,67.0,75.0
401243433,77,70,,
