,1,2,3,4
401056504,68,67,69.0,63.0
401056505,66,68,69.0,67.0
401056512,73,66,74.0,74.0
401056513,64,65,64.0,74.0
401056516,71,73,68.0,71.0
401056520,67,72,66.0,67.0
401056521,74,71,71.0,71.0
401056522,74,67,68.0,76.0
401056526,68,68,73.0,69.0
401056527,70,71,68.0,69.0
401056542,71,71,70.0,70.0
401056543,67,70,68.0,70.0
401056544,69,73,,
401056547,70,69,66.0,74.0
401056550,71,70,66.0,68.0
401056552,69,69,71.0,77.0
401056553,74,69,,
401056554,69,68,72.0,72.0
401056556,66,77,71.0,72.0
401056557,68,68,72.0,71.0
401077167,72,67,67.0,69.0
401148244,69,69,72.0,68.0
401155413,68,71,74.0,69.0
401155419,65,64,70.0,71.0
401155420,75,69,,
401155421,74,65,69.0,69.0
401155426,76,68,,
401155427,71,70,77.0,74.0
401155459,73,69,,
401155460,67,71,69.0,67.0
401155461,81,68,,
401155467,64,67,69.0,73.0
401155474,67,70,71.0,69.0
401219333,69,77,72.0,79.0
401219478,70,70,75.0,70.0
401219481,73,69,,
401219498,67,72,,
401219795,67,74,,
401219796,74,68,68.0,73.0
401219797,71,67,73.0,70.0
401219802,70,72,,
401223849,72,69,66.0,73.0
401242998,70,73,73.0,73.0
401242999,74,68,,
401243000,72,75,,
401243001,70,71,73.0,67.0
401243004,76,70,76.0,77.0
401243005,77,73,,
401243006,70,68,78.0,71.0
401243009,76,68,69.0,70.0
401243401,73,66,70.0,68.0
401243419,67,72,,
401243420,70,77,,
