,1,2,3,4
401056252,75,61,76.0,77.0
401056503,75,72,,
401056506,73,72,,
401056514,70,69,76.0,
401056517,72,74,,
401056525,77,66,,
401056546,66,70,72.0,69.0
401056548,75,71,,
401056551,75,72,,
401056555,69,72,,
401148234,72,69,75.0,74.0
401148235,72,70,72.0,74.0
401148237,71,73,73.0,66.0
401148240,69,71,70.0,70.0
401148243,68,63,67.0,73.0
401155419,70,71,76.0,
401155422,66,72,78.0,
401155425,71,72,,
401155460,73,67,,
401155472,72,69,,
401219480,67,73,70.0,72.0
401219793,69,66,69.0,70.0
401219799,71,71,75.0,72.0
401243000,75,73,,
401243003,72,73,,
401243008,72,74,,
401243419,68,71,,
