,1,2,3,4
401056500,69,72,69.0,67.0
401056501,73,67,69.0,73.0
401056503,70,73,71.0,71.0
401056505,67,67,71.0,66.0
401056506,72,66,67.0,64.0
401056510,72,64,68.0,66.0
401056511,69,68,72.0,
401056513,74,72,,
401056514,70,75,72.0,
401056515,72,73,,
401056520,68,68,70.0,71.0
401056521,75,73,,
401056522,72,74,,
401056523,70,72,68.0,69.0
401056526,69,71,75.0,70.0
401056528,72,69,74.0,74.0
401056544,70,68,70.0,72.0
401056545,64,66,65.0,72.0
401056546,70,67,72.0,69.0
401056548,73,69,,
401056549,64,71,71.0,73.0
401056550,72,73,,
401056552,74,71,,
401056553,72,73,,
401056554,71,71,71.0,70.0
401056555,70,69,,
401056557,64,69,74.0,72.0
401056558,66,71,69.0,67.0
401148233,71,67,,
401148234,73,70,,
401148236,70,71,,
401148237,70,74,67.0,71.0
401148240,70,66,65.0,68.0
401148242,68,70,69.0,70.0
401148243,70,65,68.0,69.0
401155418,72,72,,
401155419,67,75,72.0,
401155421,71,78,,
401155422,70,74,77.0,
401155423,70,74,,
401155426,74,75,,
401155460,69,64,67.0,72.0
401155466,67,66,68.0,64.0
401155472,72,70,,
401155473,73,64,65.0,67.0
401155474,74,77,,
401219480,71,72,,
401219498,69,68,71.0,74.0
401219793,71,72,,
401219794,67,72,73.0,72.0
401219795,70,71,,
401219799,64,70,70.0,69.0
401219800,76,71,,
401219801,71,75,,
401219802,69,73,,
401223849,72,72,,
401242997,69,66,65.0,68.0
401242999,68,72,,
401243000,70,73,74.0,68.0
401243001,71,72,,
401243005,74,68,71.0,75.0
401243006,70,71,66.0,77.0
401243009,74,73,,
401243011,72,71,,
401243401,70,67,73.0,66.0
401243419,70,66,68.0,70.0
401243420,71,74,,
401243433,76,72,,
