,1,2,3,4
401056252,71,70,70.0,71.0
401056503,73,67,71.0,67.0
401056504,69,70,77.0,71.0
401056505,69,71,,
401056506,69,65,65.0,66.0
401056510,68,66,71.0,71.0
401056511,67,73,67.0,78.0
401056512,71,70,75.0,72.0
401056513,71,72,,
401056515,71,72,,
401056517,70,70,72.0,75.0
401056520,69,73,,
401056521,73,72,70.0,68.0
401056522,71,75,,
401056523,73,67,76.0,72.0
401056526,70,74,,
401056528,71,75,,
401056545,70,71,,
401056546,68,70,65.0,67.0
401056548,65,73,69.0,70.0
401056549,67,67,69.0,73.0
401056550,71,72,68.0,73.0
401056551,70,71,,
401056553,73,74,,
401056557,72,69,,
401056558,68,67,,
401148233,74,72,,
401148234,74,69,,
401155460,70,73,,
401155472,73,70,,
401219480,70,72,,
401219793,71,67,72.0,70.0
401219799,71,74,,
401243000,74,71,,
401243003,69,72,71.0,72.0
401243008,72,75,,
401243419,71,72,,
