,1,2,3,4
401056500,68,69,70.0,70.0
401056501,72,70,69.0,62.0
401056504,71,65,65.0,68.0
401056511,69,72,72.0,
401056512,67,67,75.0,68.0
401056513,68,71,71.0,74.0
401056514,70,75,73.0,
401056520,70,71,69.0,63.0
401056522,71,74,,
401056526,75,69,,
401056528,66,71,74.0,69.0
401056543,68,72,70.0,72.0
401056544,70,67,78.0,73.0
401056547,74,75,,
401056548,65,71,68.0,67.0
401056551,68,69,71.0,67.0
401056552,77,75,,
401056553,68,69,68.0,69.0
401056555,68,69,,67.0
401148236,70,66,67.0,68.0
401148238,70,69,70.0,68.0
401148239,67,68,69.0,67.0
401155413,71,72,75.0,71.0
401155418,67,68,68.0,68.0
401155420,72,62,71.0,77.0
401155421,71,71,,
401155423,71,70,81.0,72.0
401155426,70,72,68.0,70.0
401155459,72,72,,
401155461,67,68,73.0,74.0
401155466,67,71,,
401155467,69,69,71.0,64.0
401155474,67,67,68.0,67.0
401155475,71,76,74.0,67.0
401155476,72,72,70.0,67.0
401219333,73,75,,
401219481,74,66,76.0,64.0
401219498,65,67,66.0,69.0
401219795,67,66,70.0,68.0
401219796,68,76,66.0,71.0
401219797,69,65,66.0,69.0
401223849,77,81,,
401242996,67,67,64.0,71.0
401242997,70,65,65.0,69.0
401242998,66,70,73.0,70.0
401242999,70,68,71.0,67.0
401243002,71,72,78.0,72.0
401243005,70,72,68.0,71.0
401243009,72,71,70.0,70.0
401243010,74,68,73.0,75.0
401243419,67,69,66.0,75.0
401243433,70,70,70.0,76.0
