,1,2,3,4
401148233,64,69,69.0,70.0
401148234,72,74,,
401148235,72,70,70.0,68.0
401148237,69,67,72.0,67.0
401148240,73,67,70.0,70.0
401148242,69,69,75.0,71.0
401148243,65,73,64.0,73.0
401155418,69,71,71.0,70.0
401155419,71,69,71.0,
401155420,76,70,,
401155421,76,71,,
401155422,68,72,75.0,
401155426,74,74,,
401155427,71,70,79.0,77.0
401155459,76,74,,
401155460,71,66,67.0,73.0
401155461,74,69,76.0,75.0
401155466,68,76,,
401155472,71,71,,
401155473,73,75,,
401155474,68,67,76.0,71.0
401219480,65,74,69.0,70.0
401219793,66,70,70.0,70.0
401219794,70,75,,
401219795,63,73,,
401219799,69,80,,
401219800,70,72,74.0,73.0
401219801,73,70,,
401219802,73,73,,
401223849,73,74,,
401242998,74,74,,
401242999,72,72,,
401243000,72,71,76.0,73.0
401243001,71,66,75.0,70.0
401243005,72,71,77.0,70.0
401243006,66,67,79.0,71.0
401243008,75,70,72.0,75.0
401243009,73,74,,
401243011,69,71,68.0,71.0
401243401,73,75,,
401243419,67,74,,
401243420,75,77,,
401243433,75,72,,
