,1,2,3,4
401056500,67,76,73.0,77.0
401056503,70,67,72.0,73.0
401056504,67,69,67.0,77.0
401056506,76,68,,
401056511,70,66,73.0,
401056512,69,71,71.0,72.0
401056513,73,72,,
401056514,67,70,69.0,66.0
401056515,70,75,,
401056521,69,74,73.0,71.0
401056522,71,73,,
401056523,69,68,70.0,73.0
401056526,68,69,73.0,70.0
401056528,70,69,71.0,75.0
401056544,72,75,,
401056545,69,64,67.0,68.0
401056548,69,67,66.0,69.0
401056549,72,70,,
401056550,76,72,,
401056551,69,72,,
401056553,73,72,,
401056554,69,74,73.0,72.0
401056555,68,75,,
401056557,66,72,70.0,74.0
401056558,70,66,,
401148233,69,68,,
401148234,66,72,71.0,70.0
401148236,67,65,72.0,70.0
401148237,72,75,,
401148240,66,70,69.0,67.0
401148242,70,71,69.0,69.0
401148243,67,70,69.0,68.0
401155419,67,71,67.0,73.0
401155420,71,69,74.0,72.0
401155422,73,73,68.0,
401155423,69,75,,
401155426,70,72,76.0,69.0
401155460,65,71,70.0,71.0
401155466,66,68,64.0,67.0
401155472,71,64,73.0,73.0
401155473,70,66,70.0,67.0
401155474,72,70,,
401219498,70,68,65.0,71.0
401219793,71,73,,
401219794,67,72,68.0,67.0
401219795,68,70,,
401219799,68,73,70.0,67.0
401219800,74,71,,
401219801,69,68,78.0,68.0
401223849,74,68,71.0,75.0
401242998,69,75,,
401242999,67,70,66.0,72.0
401243000,69,71,70.0,72.0
401243005,76,71,,
401243006,74,71,,
401243009,77,69,72.0,71.0
401243011,73,70,,
401243401,74,67,,
401243419,67,71,63.0,66.0
401243420,69,69,70.0,78.0
401243433,67,69,73.0,71.0
