,1,2,3,4
401148233,69,67,70.0,72.0
401148234,70,68,75.0,71.0
401148235,73,72,,
401148237,74,68,75.0,73.0
401148240,68,69,73.0,66.0
401148242,71,70,71.0,71.0
401148243,75,77,,
401155419,67,70,64.0,68.0
401155420,66,71,71.0,74.0
401155421,70,72,,
401155422,72,70,75.0,
401155425,72,65,74.0,72.0
401155426,72,72,,
401155460,72,73,,
401155466,72,71,,
401155472,74,85,,
401155473,71,70,,
401219480,69,69,71.0,68.0
401219793,72,70,,
401219794,69,75,,
401219801,68,71,71.0,68.0
401219802,77,72,,
401223849,74,70,,
401242998,70,79,,
401243000,75,65,73.0,74.0
401243003,73,73,,
401243006,75,74,,
401243008,69,73,70.0,74.0
401243009,74,71,73.0,71.0
401243401,70,70,78.0,69.0
401243419,73,70,,
401243420,74,76,,
401243433,74,73,,
