,1,2,3,4
401056252,63,72,78.0,71.0
401056503,70,74,,
401056506,73,80,,
401056510,69,71,,
401056511,73,67,74.0,
401056512,69,67,71.0,70.0
401056514,72,77,77.0,
401056517,67,73,71.0,69.0
401056520,73,70,,
401056523,66,76,69.0,76.0
401056525,68,70,67.0,74.0
401056526,73,71,,
401056544,73,72,,
401056545,65,66,67.0,72.0
401056546,68,68,63.0,66.0
401056548,70,67,64.0,71.0
401056549,70,69,,
401056550,74,72,,
401056551,69,71,68.0,65.0
401056555,68,65,,76.0
401056556,68,72,76.0,67.0
401056557,68,67,70.0,67.0
401056558,73,68,,
401148233,71,66,,
401148234,75,71,,
401148235,69,74,,
401148236,68,72,,
401148237,65,71,72.0,69.0
401148240,70,72,,
401148242,73,72,,
401148243,69,82,,
401155418,70,69,76.0,65.0
401155419,69,65,68.0,66.0
401155420,79,76,,
401155421,74,70,,
401155423,71,73,,
401155426,70,67,74.0,71.0
401155427,74,76,,
401155459,66,73,,
401155460,68,66,72.0,67.0
401155461,73,72,79.0,75.0
401155466,69,72,,
401155472,70,67,71.0,63.0
401155473,70,70,,
401155474,73,70,,
401219480,65,70,72.0,74.0
401219481,70,71,71.0,71.0
401219498,67,71,67.0,67.0
401219793,70,66,68.0,69.0
401219794,71,71,,
401219795,65,66,70.0,71.0
401219799,70,70,69.0,68.0
401219800,68,69,66.0,69.0
401219801,71,65,72.0,66.0
401219802,73,68,67.0,72.0
401223849,69,70,69.0,70.0
401242997,69,66,66.0,65.0
401242998,69,74,77.0,65.0
401242999,71,69,,
401243001,70,71,73.0,71.0
401243004,73,78,,
401243005,74,75,,
401243006,68,70,69.0,73.0
401243008,72,68,69.0,72.0
401243009,71,72,74.0,73.0
401243011,70,67,73.0,75.0
401243401,72,77,,
401243419,68,67,69.0,70.0
401243420,69,74,70.0,75.0
