,1,2,3,4
401056514,71,77,67.0,
401056516,70,76,72.0,75.0
401056521,70,79,,
401056522,73,74,,
401056527,78,73,,
401056528,65,68,71.0,70.0
401056543,72,74,68.0,69.0
401056544,69,67,72.0,73.0
401056547,67,67,63.0,72.0
401056552,75,69,68.0,69.0
401056555,64,68,,67.0
401056556,75,69,70.0,69.0
401148239,71,69,67.0,65.0
401148241,72,72,72.0,71.0
401155424,72,69,71.0,69.0
401155426,69,69,73.0,70.0
401155459,71,73,,
401155461,73,75,,
401155466,66,69,74.0,67.0
401155467,68,69,67.0,67.0
401155473,68,63,70.0,67.0
401155474,72,69,,
401219333,76,70,77.0,72.0
401219478,74,69,68.0,73.0
401219481,68,72,69.0,74.0
401219498,74,67,,
401219793,68,73,,
401219796,72,74,70.0,67.0
401219800,69,69,68.0,68.0
401219801,67,71,71.0,67.0
401223849,69,72,74.0,69.0
401243002,72,70,76.0,73.0
401243004,75,74,,
401243005,68,74,69.0,68.0
401243006,67,66,74.0,74.0
401243010,71,73,72.0,72.0
401243011,70,65,72.0,66.0
401243420,71,73,75.0,71.0
