,1,2,3,4
401056252,73,67,,
401056501,75,67,70.0,70.0
401056504,69,71,,
401056505,65,70,71.0,67.0
401056506,74,75,,
401056510,70,67,65.0,64.0
401056512,71,70,66.0,71.0
401056513,70,77,,
401056514,69,69,69.0,71.0
401056515,69,72,78.0,70.0
401056520,68,68,71.0,75.0
401056521,69,72,71.0,68.0
401056522,73,66,74.0,72.0
401056523,71,71,72.0,68.0
401056526,70,73,71.0,69.0
401056543,69,73,73.0,72.0
401056544,67,76,,
401056547,74,72,,
401056549,68,70,,
401056550,70,76,,
401056551,65,61,68.0,67.0
401056552,68,70,70.0,72.0
401056554,77,76,,
401056557,73,70,,
401056558,70,76,,
401056559,69,75,73.0,74.0
401148233,65,71,69.0,70.0
401148235,72,71,,
401148236,71,63,68.0,68.0
401148238,72,72,68.0,68.0
401148239,67,69,70.0,67.0
401155413,72,73,73.0,74.0
401155418,71,71,,
401155420,69,71,67.0,74.0
401155421,67,72,69.0,74.0
401155422,74,73,79.0,
401155423,69,67,70.0,69.0
401155424,76,76,72.0,75.0
401155427,69,68,78.0,74.0
401155459,72,68,,
401155461,74,72,78.0,80.0
401155466,65,67,70.0,71.0
401155467,65,69,72.0,72.0
401155473,66,80,,
401155474,70,75,,
401219333,74,86,,
401219478,75,69,71.0,70.0
401219481,70,71,76.0,73.0
401219498,72,76,,
401219794,74,79,,
401219795,68,65,68.0,71.0
401219796,73,71,82.0,75.0
401219800,76,71,,
401219801,71,76,,
401219802,70,70,69.0,67.0
401223849,70,77,,
401242997,66,72,,
401242999,77,68,,
401243000,73,68,76.0,73.0
401243001,71,68,83.0,72.0
401243004,72,77,,
401243005,76,81,,
401243006,76,76,,
401243009,66,76,72.0,75.0
401243011,68,68,76.0,77.0
401243401,77,77,,
401243419,67,69,72.0,69.0
401243420,75,79,,
401243433,71,73,,
