,1,2,3,4
401056252,66,69,69.0,71.0
401056501,73,71,71.0,69.0
401056503,72,73,,
401056504,72,65,69.0,65.0
401056505,66,73,,
401056506,68,69,68.0,67.0
401056510,71,64,65.0,68.0
401056511,71,65,64.0,71.0
401056512,72,68,72.0,72.0
401056513,69,68,67.0,69.0
401056514,71,77,69.0,
401056515,76,69,,
401056520,70,64,77.0,71.0
401056521,71,69,71.0,68.0
401056522,73,71,,
401056523,70,67,71.0,70.0
401056525,67,67,69.0,71.0
401056526,73,69,68.0,69.0
401056528,72,74,,
401056542,67,71,73.0,70.0
401056543,70,72,66.0,67.0
401056544,67,68,76.0,68.0
401056545,62,67,70.0,65.0
401056547,71,80,,
401056548,68,67,67.0,70.0
401056549,68,69,71.0,66.0
401056550,70,69,71.0,72.0
401056551,71,69,,
401056552,71,74,,
401056553,72,72,,
401056554,72,70,75.0,73.0
401056555,64,68,,64.0
401056557,69,68,66.0,72.0
401056558,65,70,68.0,67.0
401148233,66,67,67.0,71.0
401148234,68,69,67.0,66.0
401148235,70,72,71.0,71.0
401148238,68,73,70.0,72.0
401148239,71,64,67.0,65.0
401148241,66,69,70.0,72.0
401155418,69,68,67.0,71.0
401155419,67,66,69.0,68.0
401155420,67,73,71.0,73.0
401155421,66,72,68.0,70.0
401155423,69,75,,
401155424,69,72,70.0,70.0
401155426,72,66,70.0,66.0
401155427,70,69,74.0,73.0
401155459,66,69,67.0,67.0
401155460,70,69,70.0,70.0
401155461,78,70,,
401155466,68,68,71.0,68.0
401155467,67,68,69.0,73.0
401155473,69,64,66.0,65.0
401155474,75,67,,
401155475,77,74,72.0,69.0
401155476,68,64,72.0,70.0
401219333,70,75,73.0,71.0
401219478,66,70,68.0,69.0
401219481,73,71,,
401219498,73,70,,
401219794,71,70,72.0,66.0
401219795,67,63,69.0,68.0
401219796,78,69,72.0,67.0
401219797,68,68,69.0,72.0
401219800,74,69,73.0,67.0
401219801,72,69,,
401223849,72,70,71.0,77.0
401242996,67,68,67.0,69.0
401242997,68,68,68.0,67.0
401242998,69,74,69.0,73.0
401242999,72,67,68.0,65.0
401243002,68,74,69.0,72.0
401243004,69,70,72.0,76.0
401243005,72,66,77.0,66.0
401243006,68,68,69.0,70.0
401243010,77,80,,
401243011,68,65,69.0,72.0
401243401,68,65,73.0,69.0
401243420,68,82,,
401243433,68,67,74.0,71.0
