,1,2,3,4
401056503,72,71,78.0,76.0
401148233,70,70,,
401148234,73,70,,
401148240,69,69,70.0,70.0
401148243,68,66,67.0,72.0
401155418,68,69,70.0,70.0
401155419,71,65,66.0,71.0
401155420,72,73,,
401155422,69,70,70.0,74.0
401155425,69,70,71.0,67.0
401155426,69,81,,
401155460,73,71,,
401155466,69,68,,
401155472,70,69,67.0,71.0
401155473,74,71,,
401219480,70,71,75.0,69.0
401219793,67,68,68.0,73.0
401219794,72,75,,
401219799,71,74,,
401219801,71,78,,
401219802,73,69,,
401223849,68,72,72.0,70.0
401242997,69,68,,
401242998,67,76,80.0,71.0
401243000,67,74,69.0,72.0
401243003,69,68,74.0,68.0
401243008,71,69,70.0,76.0
401243401,70,71,,
401243419,68,71,,
401243420,74,68,78.0,69.0
401243433,71,71,,
