,1,2,3,4
401056502,68,68,72.0,75.0
401056514,73,68,71.0,71.0
401056515,70,69,70.0,71.0
401056516,70,65,72.0,72.0
401056521,69,66,76.0,68.0
401056522,65,67,70.0,73.0
401056527,71,71,70.0,74.0
401056528,71,68,70.0,70.0
401056542,69,70,71.0,70.0
401056543,70,66,70.0,69.0
401056544,69,72,69.0,70.0
401056547,68,67,66.0,74.0
401056549,66,69,67.0,69.0
401056552,67,71,72.0,78.0
401056556,71,73,73.0,73.0
401056559,68,70,65.0,66.0
401148238,71,70,71.0,67.0
401148239,71,69,67.0,67.0
401148241,74,76,73.0,67.0
401155424,70,69,70.0,69.0
401155426,70,68,67.0,71.0
401155427,76,76,,
401155467,72,67,73.0,65.0
401155472,71,72,,
401155473,69,64,68.0,74.0
401155474,66,69,71.0,70.0
401219333,74,74,,
401219478,71,66,71.0,74.0
401219481,70,64,70.0,73.0
401219796,77,71,72.0,70.0
401219797,70,68,74.0,69.0
401219801,67,72,67.0,67.0
401243002,75,72,68.0,75.0
401243004,70,70,68.0,77.0
401243005,75,71,,
401243010,74,70,73.0,76.0
401243011,76,65,,
401243420,67,75,70.0,70.0
