,1,2,3,4
401056252,67,70,70.0,68.0
401056500,72,75,67.0,67.0
401056504,72,65,69.0,72.0
401056506,69,68,69.0,64.0
401056507,73,71,69.0,70.0
401056510,71,71,,
401056522,71,73,,
401056528,69,67,72.0,69.0
401056543,69,76,71.0,66.0
401056544,62,70,72.0,70.0
401056545,68,70,,
401056546,73,70,,
401056548,73,70,,
401056549,70,65,,
401056551,65,74,68.0,69.0
401056552,72,75,,
401056554,69,66,74.0,73.0
401056557,73,71,,
401056558,70,64,66.0,68.0
401148235,72,74,,
401148236,66,68,68.0,75.0
401148238,74,72,70.0,71.0
401148239,71,68,70.0,67.0
401148243,68,68,66.0,71.0
401155418,75,68,,
401155419,71,68,68.0,74.0
401155421,71,75,,
401155422,69,70,73.0,71.0
401155423,73,71,,
401155427,71,72,75.0,75.0
401155459,73,71,,
401155460,68,67,67.0,71.0
401155461,75,77,,
401155466,68,64,72.0,72.0
401155472,73,69,,
401155473,67,69,71.0,68.0
401155474,72,67,70.0,65.0
401219333,72,74,78.0,78.0
401219481,73,72,,
401219498,70,68,72.0,71.0
401219793,75,66,,
401219794,73,72,,
401219795,68,66,70.0,68.0
401219799,69,70,71.0,71.0
401219800,74,68,69.0,68.0
401219801,74,73,,
401219802,70,68,73.0,67.0
401223849,69,72,67.0,72.0
401242997,66,67,70.0,68.0
401242998,71,72,76.0,74.0
401242999,74,69,,
401243000,71,69,71.0,68.0
401243001,70,73,,
401243005,74,77,,
401243006,74,68,,
401243008,72,69,70.0,75.0
401243009,76,69,68.0,73.0
401243011,68,76,,
401243401,69,73,,
401243419,68,70,66.0,65.0
401243420,70,75,,
401243433,68,69,68.0,70.0
