,1,2,3,4
401056252,69,70,73.0,77.0
401056503,75,73,,
401056504,73,80,,
401056505,73,65,70.0,66.0
401056506,69,71,73.0,66.0
401056510,72,66,66.0,71.0
401056511,73,66,66.0,71.0
401056512,70,77,,
401056513,76,72,,
401056514,71,68,70.0,71.0
401056515,70,78,,
401056517,71,73,74.0,71.0
401056520,69,71,,
401056522,70,71,,
401056523,78,66,,
401056525,71,71,70.0,72.0
401056526,72,75,,
401056528,73,75,,
401056545,68,67,69.0,66.0
401056546,71,70,,
401056548,69,69,71.0,63.0
401056549,67,70,71.0,69.0
401056550,71,74,,
401056551,64,66,70.0,67.0
401056555,69,68,,70.0
401056557,72,71,,
401056558,70,68,,
401148233,67,70,,
401148234,71,71,,
401148235,68,74,71.0,73.0
401148237,70,75,,
401148240,70,68,67.0,67.0
401148242,73,67,66.0,73.0
401148243,67,61,70.0,65.0
401155413,69,78,68.0,75.0
401155418,74,71,,
401155419,66,73,67.0,74.0
401155421,72,70,,
401155422,73,73,74.0,
401155423,73,69,79.0,71.0
401155426,72,72,,
401155427,73,77,,
401155459,65,70,70.0,70.0
401155460,68,70,70.0,71.0
401155461,75,71,71.0,84.0
401155466,64,70,69.0,67.0
401155467,74,70,66.0,70.0
401155473,68,64,66.0,67.0
401155474,69,69,69.0,67.0
401155475,68,76,77.0,68.0
401219333,73,71,77.0,72.0
401219478,77,71,,
401219481,74,71,,
401219498,71,63,68.0,69.0
401219793,72,73,,
401219795,70,67,,
401219796,67,71,72.0,73.0
401219797,68,68,72.0,67.0
401219800,77,72,,
401219801,76,66,,
401219802,70,67,68.0,68.0
401242998,73,72,,
401242999,74,70,,
401243000,72,74,,
401243001,69,70,75.0,70.0
401243004,72,72,71.0,78.0
401243005,80,73,,
401243006,74,68,,
401243008,69,69,74.0,76.0
401243009,73,71,73.0,70.0
401243011,71,73,,
401243401,67,72,73.0,72.0
401243419,70,75,,
401243420,72,82,,
401243433,70,71,72.0,68.0
