,1,2,3,4
401056252,69,72.0,,
401056503,69,70.0,70.0,71.0
401056504,68,69.0,70.0,71.0
401056505,69,68.0,65.0,70.0
401056506,73,69.0,,
401056510,69,74.0,,
401056511,68,66.0,69.0,66.0
401056513,73,71.0,,
401056514,70,69.0,75.0,
401056515,67,69.0,74.0,67.0
401056520,70,68.0,69.0,76.0
401056521,75,71.0,,
401056522,67,70.0,71.0,76.0
401056523,74,69.0,71.0,68.0
401056526,70,73.0,,
401056528,69,76.0,,
401056543,73,70.0,67.0,66.0
401056544,69,68.0,73.0,68.0
401056545,68,66.0,68.0,68.0
401056548,65,68.0,66.0,69.0
401056549,68,66.0,69.0,65.0
401056550,68,71.0,68.0,71.0
401056551,69,67.0,68.0,66.0
401056553,74,67.0,70.0,74.0
401056554,67,72.0,72.0,77.0
401056557,70,69.0,69.0,71.0
401148234,70,73.0,,
401148235,73,69.0,72.0,73.0
401148238,74,71.0,71.0,72.0
401148239,70,73.0,71.0,65.0
401148242,64,66.0,67.0,68.0
401148243,68,67.0,65.0,69.0
401155418,75,66.0,66.0,67.0
401155419,69,74.0,64.0,69.0
401155421,77,68.0,,
401155422,72,71.0,70.0,
401155423,69,67.0,74.0,68.0
401155426,71,71.0,71.0,72.0
401155427,73,73.0,77.0,79.0
401155459,66,74.0,,
401155461,76,74.0,,
401155466,70,69.0,,
401155472,69,78.0,,
401219480,76,70.0,,
401219498,67,69.0,70.0,69.0
401219794,73,75.0,,
401219795,66,70.0,,
401219799,65,75.0,71.0,70.0
401219800,73,72.0,,
401219801,70,66.0,71.0,65.0
401219802,76,69.0,,
401223849,72,72.0,,
401242997,64,66.0,68.0,68.0
401242999,73,70.0,,
401243000,67,73.0,71.0,69.0
401243001,72,72.0,,
401243003,71,72.0,71.0,68.0
401243005,76,74.0,,
401243006,77,70.0,,
401243008,78,,,
401243009,71,74.0,70.0,72.0
401243011,68,75.0,,
401243401,73,67.0,74.0,71.0
401243419,69,70.0,,
401243420,72,77.0,,
401243433,70,67.0,69.0,68.0
