,1,2,3,4
401056505,72,67,,
401056512,73,72,,
401056521,74,70,73.0,70.0
401056527,72,71,71.0,71.0
401056545,66,66,64.0,65.0
401056548,69,69,68.0,64.0
401056549,67,71,68.0,73.0
401056556,69,73,71.0,67.0
401056557,70,69,70.0,64.0
401056558,69,66,69.0,65.0
401148233,68,68,68.0,64.0
401148238,69,69,74.0,69.0
401148239,75,65,67.0,72.0
401148242,68,74,,
401155421,70,72,,
401155422,70,68,70.0,77.0
401155425,68,66,64.0,70.0
401155426,77,73,,
401155427,74,73,72.0,77.0
401155459,70,68,68.0,66.0
401155460,69,67,67.0,71.0
401155461,74,66,77.0,79.0
401155466,63,69,67.0,68.0
401155467,67,75,72.0,69.0
401155474,68,70,68.0,66.0
401155475,71,73,73.0,71.0
401155476,69,69,68.0,70.0
401219333,71,71,70.0,75.0
401219481,68,71,73.0,66.0
401219498,65,71,68.0,66.0
401219796,75,66,69.0,70.0
401219797,71,64,71.0,72.0
401219800,70,69,68.0,68.0
401219802,67,69,63.0,65.0
401223849,69,67,66.0,71.0
401242996,69,68,68.0,76.0
401242998,70,65,73.0,71.0
401243001,71,69,70.0,67.0
401243002,71,69,66.0,67.0
401243004,69,68,77.0,78.0
401243005,72,74,,
401243010,73,70,72.0,73.0
401243420,69,72,68.0,67.0
401243433,69,69,68.0,65.0
