,1,2,3,4
401056252,71,71,,
401056503,71,70,72.0,70.0
401056504,71,67,69.0,68.0
401056506,73,71,,
401056510,67,68,70.0,70.0
401056511,68,71,70.0,
401056512,68,76,,
401056514,67,73,74.0,
401056517,74,71,76.0,75.0
401056525,71,71,68.0,72.0
401056545,67,68,68.0,69.0
401056546,64,69,75.0,69.0
401056548,69,67,66.0,67.0
401056549,71,74,,
401056550,70,71,74.0,78.0
401056551,70,70,,
401056555,68,68,,66.0
401056557,67,68,67.0,68.0
401056558,69,73,,
401148233,69,71,,
401148234,72,80,,
401148237,69,68,72.0,74.0
401148240,63,69,69.0,68.0
401148242,70,69,73.0,71.0
401148243,72,66,65.0,75.0
401155419,68,65,69.0,78.0
401155420,74,72,,
401155422,69,73,70.0,75.0
401155425,67,70,69.0,69.0
401155426,75,75,,
401155460,77,70,,
401155472,74,67,,
401219480,70,74,,
401219793,72,69,,
401219799,70,79,,
401243000,71,71,74.0,77.0
401243003,69,70,70.0,67.0
401243008,70,73,69.0,74.0
401243419,68,70,71.0,70.0
