,1,2,3,4
401148234,76,77,,
401148242,70,70,70.0,71.0
401148243,68,65,70.0,66.0
401155418,74,72,,
401155420,75,68,69.0,70.0
401155425,70,68,70.0,69.0
401155460,71,71,,
401155466,66,62,71.0,64.0
401155472,69,74,,
401155473,68,69,64.0,69.0
401219480,73,71,,
401219793,72,67,70.0,73.0
401219794,72,69,70.0,74.0
401219795,67,69,,
401219799,69,72,68.0,70.0
401219800,76,67,65.0,72.0
401219801,71,69,,
401219802,75,76,,
401242997,68,70,,
401242998,67,70,75.0,75.0
401242999,70,74,,
401243000,66,73,68.0,73.0
401243003,73,70,69.0,67.0
401243004,72,72,72.0,76.0
401243006,67,69,72.0,73.0
401243008,72,71,68.0,75.0
401243009,72,74,77.0,73.0
401243011,75,70,,
401243401,72,68,75.0,72.0
401243419,69,70,,
401243420,74,73,,
