,1,2,3,4
401056500,69,71,65.0,68.0
401056501,76,73,71.0,65.0
401056502,66,71,69.0,68.0
401056507,72,67,68.0,62.0
401056512,69,70,70.0,70.0
401056513,67,72,67.0,68.0
401056515,74,68,67.0,69.0
401056516,69,73,66.0,69.0
401056522,70,74,,
401056527,73,65,70.0,68.0
401056528,71,70,73.0,75.0
401056542,64,69,67.0,70.0
401056543,67,68,70.0,72.0
401056544,70,72,,
401056547,74,65,69.0,78.0
401056552,70,69,68.0,76.0
401056553,76,67,,
401056554,69,70,72.0,70.0
401056556,66,73,71.0,67.0
401056559,69,70,69.0,69.0
401077167,73,68,66.0,70.0
401148239,68,66,65.0,72.0
401148241,66,69,68.0,66.0
401148244,73,70,70.0,68.0
401155413,69,68,71.0,70.0
401155420,74,70,,
401155421,67,67,66.0,74.0
401155423,72,70,69.0,69.0
401155424,72,72,66.0,66.0
401155427,73,74,72.0,74.0
401155459,65,66,66.0,69.0
401155461,78,69,72.0,70.0
401155466,63,68,70.0,67.0
401155467,68,70,67.0,66.0
401155474,68,71,67.0,67.0
401155475,73,70,74.0,69.0
401155476,67,65,67.0,66.0
401219333,68,72,70.0,74.0
401219478,67,73,71.0,70.0
401219481,66,70,69.0,67.0
401219498,72,66,75.0,66.0
401219796,66,64,74.0,66.0
401219797,69,72,67.0,65.0
401223849,69,73,66.0,70.0
401242996,69,66,70.0,66.0
401242998,70,72,68.0,69.0
401242999,66,64,65.0,71.0
401243001,71,69,71.0,69.0
401243002,71,72,73.0,71.0
401243005,76,72,,
401243010,72,69,68.0,72.0
401243420,72,71,68.0,71.0
