,1,2,3,4
401056517,71,73,70.0,74.0
401056556,83,72,,
401148233,74,70,,
401148234,67,75,,
401148235,75,66,66.0,68.0
401148236,74,75,,
401148237,68,76,72.0,67.0
401148240,70,68,70.0,73.0
401148242,67,73,65.0,67.0
401148243,72,73,,
401155418,72,67,74.0,69.0
401155419,64,70,71.0,73.0
401155420,72,66,72.0,72.0
401155422,69,69,73.0,71.0
401155425,76,68,,
401155426,76,74,,
401155427,74,70,77.0,74.0
401155459,71,65,75.0,68.0
401155460,70,68,69.0,73.0
401155461,76,78,,
401155466,69,73,,
401155473,69,69,,
401155474,68,80,,
401219480,68,73,70.0,76.0
401219793,68,72,,
401219794,74,75,,
401219795,71,68,,
401223849,76,77,,
