,1,2,3,4
401056505,71,72,,
401056506,70,66,65.0,66.0
401056510,71,68,,
401056511,71,68,64.0,70.0
401056513,71,67,69.0,72.0
401056520,66,72,71.0,74.0
401056521,70,71,76.0,70.0
401056522,73,77,,
401056523,71,72,70.0,70.0
401056527,74,73,73.0,73.0
401056528,69,69,72.0,68.0
401056545,68,68,70.0,66.0
401056547,74,72,,
401056548,72,67,69.0,66.0
401056550,70,74,,
401056552,71,69,73.0,76.0
401056553,72,75,,
401056555,71,67,,68.0
401056556,70,69,79.0,71.0
401148233,69,69,,
401148234,67,71,68.0,69.0
401148236,70,69,,
401148242,64,70,72.0,69.0
401148243,69,69,68.0,72.0
401155418,69,68,70.0,69.0
401155419,70,72,70.0,
401155421,67,75,,
401155426,67,75,76.0,75.0
401155427,72,73,74.0,75.0
401155459,72,66,69.0,69.0
401155461,76,70,75.0,77.0
401155466,68,64,67.0,68.0
401155473,70,67,61.0,65.0
401155474,69,69,67.0,72.0
401219333,70,74,68.0,74.0
401219478,73,71,73.0,73.0
401219481,66,76,,
401219498,69,74,,
401219794,70,71,68.0,69.0
401219795,65,68,68.0,67.0
401219800,73,70,69.0,71.0
401219801,66,67,65.0,68.0
401223849,67,74,69.0,72.0
401242997,71,65,68.0,68.0
401242999,68,70,69.0,69.0
401243004,74,70,72.0,76.0
401243005,75,68,72.0,71.0
401243006,67,68,70.0,70.0
401243009,71,76,,
401243010,77,74,,
401243011,72,70,,
401243401,72,68,71.0,75.0
401243420,69,75,72.0,71.0
401243433,68,67,74.0,71.0
